input,output
Flashcards for learning,"DESCRIPTION:
The UI should display a flashcard with a term on one side and a definition on the other. The flashcard should be responsive, with a mobile-first design that adapts to different screen sizes. The UI should also be accessible, with clear typography and sufficient color contrast.
COMPONENTS:
- Flashcard: Standalone component that renders a flashcard with a term and definition.
- TermSide: Takes children (the term text).
- DefinitionSide: Takes children (the definition text).
HTML:
<div class=""max-w-md mx-auto p-4 md:p-6 lg:p-8""><Flashcard/></div>
COMPONENT HTML:
Flashcard:
<div class=""flex flex-col md:flex-row items-center justify-center h-screen""><TermSide>{term}</TermSide><DefinitionSide>{definition}</DefinitionSide><!-- toggle button to flip the flashcard --><button class=""absolute top-0 right-0 mt-2 mr-2 p-2 text-gray-500 hover:text-gray-800"">Flip </button></div>
TermSide:
<div class=""p-4 bg-yellow-100 text-lg"">{children}</div>
DefinitionSide:
<div class=""p-4 bg-white text-lg"">{children}</div>"
Author bio display,"DESCRIPTION:
The UI should display an author's bio, including their name, profile picture, bio text, and social media links. The layout should be responsive, with the profile picture above the bio text on mobile devices and to the left of the bio text on larger screens.
COMPONENTS:
- SocialMediaLinks: standalone component
- ProfilePicture: standalone component
HTML:
<div class=""flex flex-wrap -mx-4""><div class=""w-full md:w-1/3 xl:w-1/4 px-4 mb-4 md:mb-0""><ProfilePicture/></div><div class=""w-full md:w-2/3 xl:w-3/4 px-4""><h2 class=""text-lg font-bold"">{author_name}</h2><p class=""text-gray-600"">{bio_text}</p><SocialMediaLinks/></div></div>
COMPONENT HTML:
SocialMediaLinks:
<ul class=""flex justify-start mb-4""><li class=""mr-4""><a href=""{twitter_url}"" target=""_blank"" rel=""noopener noreferrer"">Twitter</a></li><li class=""mr-4""><a href=""{linkedin_url}"" target=""_blank"" rel=""noopener noreferrer"">LinkedIn</a></li><li><a href=""{github_url}"" target=""_blank"" rel=""noopener noreferrer"">GitHub</a></li></ul>
ProfilePicture:
<img class=""w-24 h-24 rounded-full mb-4"" src=""{profile_picture_url}"" alt=""{author_name}'s profile picture""/>"
Search Result Item Title,"DESCRIPTION:
The UI should display a single search result item with a title that is accessible and responsive.
COMPONENTS:
- SearchResultItemTitle: standalone component that displays the title of a search result item.
HTML:
<div class=""flex flex-col md:flex-row items-center mb-4""><h2 class=""text-lg font-bold mb-2 md:mr-4""><SearchResultItemTitle/></h2><!-- other search result item details will go here --></div>
COMPONENT HTML:
SearchResultItemTitle:
<a class=""text-lg font-bold text-gray-900 hover:text-gray-700"" href=""{result_item_url}"">{result_item_title}</a>"
Slider/Carousel for Promotions,"DESCRIPTION:
The UI should be a responsive slider/carousel that displays promotions or offers with images, headings, and descriptions. It should be accessible and easy to use on various devices.
COMPONENTS:
- PromotionSlide: A standalone component that represents a single slide in the carousel. It contains an image, heading, and description.
- PromotionCarousel: A component that takes children and renders a carousel of promotion slides.
HTML:
<section class=""max-w-md mx-auto p-4 pt-6""><h2 class=""text-lg font-bold mb-4"">Current Promotions</h2><PromotionCarousel><PromotionSlide/><PromotionSlide/><PromotionSlide/></PromotionCarousel></section>
COMPONENT HTML:
PromotionSlide:
<div class=""flex flex-col md:flex-row items-center mb-4""><img src={image_url} alt={alt_text} class=""w-full md:w-1/2 object-cover""/><div class=""md:ml-4""><h3 class=""text-lg font-bold mb-2"">{heading}</h3><p class=""text-sm"">{description}</p></div></div>
PromotionCarousel:
<div class=""overflow-x-auto whitespace-nowrap"">{children}</div>"
Two-Factor Auth/QR Codes,"DESCRIPTION:
The UI should display a QR code and a text-based code for 2-factor authentication. The QR code should be large enough to be easily scannable, and the text-based code should be displayed below the QR code. The UI should be simple, clean, and easy to use.
COMPONENTS:
- TwoFactorAuth: The main component that holds the QR code and text-based code. (Standalone)
- QrCode: Displays the QR code. (Standalone)
- CodeText: Displays the text-based code. (Standalone)
HTML:
<div class=""max-w-md mx-auto p-4 md:p-6 lg:p-12""><TwoFactorAuth/></div>
COMPONENT HTML:
TwoFactorAuth:
<div class=""flex flex-col items-center""><QrCode/><CodeText/></div>
QrCode:
<img src={qr_code_src} alt=""QR Code"" class=""w-48 h-48 md:w-64 md:h-64 lg:w-80 lg:h-80 mb-4""/>
CodeText:
<p class=""text-lg md:text-xl lg:text-2xl"">{code_text}</p>"
Social Media Feed,"DESCRIPTION:
The social media feed should be a scrollable list of posts, each displaying the user's profile picture, name, post content, and any accompanying media (e.g. images, videos). The feed should be responsive, with posts stacking vertically on smaller screens and displaying in a masonry layout on larger screens.
COMPONENTS:
- SocialMediaPost: a standalone component representing a single post in the feed
- UserProfilePicture: a standalone component displaying a user's profile picture
- PostContent: a standalone component displaying the text content of a post
- MediaThumbnail: a standalone component displaying a thumbnail for an image or video
HTML:
<div class=""max-w-md mx-auto p-4""><h2 class=""text-2xl font-bold mb-4"">Social Media Feed</h2><div class=""flex flex-wrap -mx-2""><SocialMediaPost/><SocialMediaPost/><!-- add more posts here --></div></div>
COMPONENT HTML:
SocialMediaPost:
<div class=""w-full md:w-1/2 xl:w-1/3 px-2 mb-4""><UserProfilePicture/><div class=""px-4 py-2""><h3 class=""text-lg font-bold"">{username}</h3><PostContent/><MediaThumbnail/></div></div>
UserProfilePicture:
<img src=""{profile_picture_url}"" alt=""{username}'s profile picture"" class=""w-12 h-12 rounded-full mr-2""/>
PostContent:
<p>{post_content}</p>
MediaThumbnail:
<img src=""{media_thumbnail_url}"" alt=""Thumbnail for {media_type}"" class=""w-full h-48 object-cover rounded""/>"
Responsive Video Embeds,"DESCRIPTION:
The UI should display a responsive video embed that adapts to different screen sizes and devices. The video should be centered and have a max width of 100% to ensure it doesn't exceed the parent container's width.
COMPONENTS:
- ResponsiveVideoEmbed: A standalone component that wraps the video iframe.
- VideoIFrame: A standalone component that renders the video iframe.
HTML:
<div class=""container max-w-md mx-auto p-4""><ResponsiveVideoEmbed/></div>
COMPONENT HTML:
ResponsiveVideoEmbed:
<div class=""aspect-w-16 aspect-h-9""><VideoIFrame/></div>
VideoIFrame:
<iframe class=""w-full h-full"" src={`https://www.youtube.com/embed/${video_id}`} frameBorder=""0"" allowFullScreen/>"
Dropdown Menu Item Icon Color,"DESCRIPTION:
The UI should be a dropdown menu item with an icon, where the icon's color can be customized.
COMPONENTS:
- DropdownMenuItemIcon: A standalone component that displays an icon with a customizable color.
- DropdownMenuItem: A component that takes children, wraps the `DropdownMenuItemIcon` component, and displays a dropdown menu item with text.
HTML:
<nav class=""flex justify-center""><ul class=""flex flex-col""><li><DropdownMenuItem><DropdownMenuItemIcon/><span>Menu Item 1</span></DropdownMenuItem></li></ul></nav>
COMPONENT HTML:
DropdownMenuItemIcon:
<i class=""w-4 h-4 {icon_color}"" aria-hidden=""true"">{icon_name}</i>
DropdownMenuItem:
<li class=""py-2 px-4 hover:bg-gray-100"">{children}</li>"
Warning or error message for invalid input,"DESCRIPTION:
The UI should display a warning or error message for invalid input. It should be a rectangular box with a red or orange background color, a clear and concise message, and an ""X"" icon to close the message.
COMPONENTS:
- ErrorMessage: (standalone): Displays the error message.
- CloseButton: (standalone): Displays an ""X"" icon to close the message.
HTML:
<div class=""bg-red-100 p-4 rounded mb-4""><ErrorMessage/><CloseButton/></div>
COMPONENT HTML:
ErrorMessage:
<p class=""text-red-700"">{error_message}</p>
CloseButton:
<button class=""text-gray-600 hover:text-gray-900 transition duration-300"">&times;</button>"
Stencil Portals/Masking,"DESCRIPTION:
The UI should display a rectangular portal with a masked background, allowing a smaller rectangular area to be visible through a circular ""window"". The portal should have a subtle shadow and a slight border radius. The masked area should be a solid color or a subtle gradient.
COMPONENTS:
- PortalMask: - standalone - Represents the masked background.
- PortalWindow: - standalone - Represents the circular ""window"" through which the background is visible.
HTML:
<div class=""relative w-full h-screen""><PortalMask/><PortalWindow/></div>
COMPONENT HTML:
PortalMask:
<div class=""absolute top-0 left-0 w-full h-full bg-gray-200"" aria-hidden=""true""><!-- masked background --></div>
PortalWindow:
<div class=""absolute top-1/2 left-1/2 -translate-x-1/2 -translate-y-1/2 w-48 h-48 rounded-full bg-white shadow-md""><!-- circular ""window"" --><div class=""w-full h-full bg-{portal_window_background} rounded-full""></div></div>"
Product Showcase with Animated Cards,"DESCRIPTION:
The UI should be a product showcase with a grid of animated cards. Each card should have a hover effect and display a product image, title, and description. The grid should be responsive and adjust to different screen sizes.
COMPONENTS:
- ProductCard: (standalone): A single product card with a hover effect.
- ProductGrid: (takes children): A grid container that wraps multiple `ProductCard` components.
HTML:
<div class=""max-w-md mx-auto p-4""><ProductGrid><ProductCard/><ProductCard/><ProductCard/><!-- Add more ProductCard components here --></ProductGrid></div>
COMPONENT HTML:
ProductCard:
<div class=""bg-white shadow-md rounded overflow-hidden transition duration-500 hover:scale-105""><img src={product_image} alt={product_name} class=""w-full h-48 object-cover rounded-t""/><div class=""p-4""><h2 class=""text-lg font-bold"">{product_name}</h2><p class=""text-gray-600"">{product_description}</p></div></div>
ProductGrid:
<div class=""grid grid-cols-1 md:grid-cols-2 lg:grid-cols-3 gap-4"">{children}</div>"
Follow us buttons,"DESCRIPTION:
The UI should be a horizontal row of social media follow us buttons, with each button representing a different platform (e.g. Twitter, Facebook, Instagram, etc.). The buttons should be rectangular in shape, with a solid background color and white text. The text should be the name of the social media platform. The buttons should be responsive and stack horizontally on small screens.
COMPONENTS:
- FollowUsButton: (standalone): a single social media follow us button
- FollowUsButtonsContainer: (takes children): a container that holds all the social media buttons
HTML:
<div class=""container mx-auto p-4 flex flex-wrap justify-center""><FollowUsButtonsContainer><FollowUsButton/><FollowUsButton/><FollowUsButton/><!-- Add more buttons here --></FollowUsButtonsContainer></div>
COMPONENT HTML:
FollowUsButton:
<a href=""{social_media_url}"" target=""_blank"" rel=""noopener noreferrer"" class=""bg-{social_media_color} text-white py-2 px-4 rounded hover:bg-{social_media_hover_color}"">{social_media_name}</a>
FollowUsButtonsContainer:
<div class=""flex flex-wrap justify-center"">{children}</div>"
Featured Product Reviews,"DESCRIPTION:
The UI should display a list of featured product reviews, each with a product image, review title, rating, and short description. The reviews should be displayed in a grid or list format, with a maximum of 3 reviews per row on desktop and 1 review per row on mobile devices.
COMPONENTS:
- FeaturedReviewCard: A standalone component that displays a single review, including the product image, review title, rating, and short description.
- ReviewsGrid: A component that takes children and displays them in a grid format, with a maximum of 3 reviews per row on desktop and 1 review per row on mobile devices.
HTML:
<div class=""max-w-md mx-auto p-4""><h2>Featured Reviews</h2><ReviewsGrid><FeaturedReviewCard/><FeaturedReviewCard/><FeaturedReviewCard/><!-- Add more review cards here --></ReviewsGrid></div>
COMPONENT HTML:
FeaturedReviewCard:
<div class=""bg-white border rounded p-4""><img src={product_image_url} alt={product_name} class=""w-full mb-4""/><h3 class=""text-lg font-bold"">{review_title}</h3><div class=""flex items-center mb-2""><span class=""text-lg"">{rating}/5</span><span class=""text-gray-600"">{rating_count} reviews</span></div><p>{short_description}</p></div>
ReviewsGrid:
<div class=""grid gap-4 lg:grid-cols-3 md:grid-cols-2 sm:grid-cols-1"">{children}</div>"
Featured Video Play Icon,"DESCRIPTION:
The UI should display a play icon overlaid on a featured video thumbnail. The play icon should be a white triangle with a rounded rectangle background. The icon should be responsive, accessible, and mobile-first.
COMPONENTS:
- FeaturedVideoPlayIcon: (standalone): displays the play icon overlaid on a featured video thumbnail.
HTML:
<div class=""w-full h-full relative""><img src=""{thumbnail_url}"" alt=""Featured Video Thumbnail"" class=""w-full h-full object-cover rounded-lg""/><FeaturedVideoPlayIcon/></div>
COMPONENT HTML:
FeaturedVideoPlayIcon:
<div class=""absolute inset-0 flex justify-center items-center bg-gray-800 rounded-lg p-4""><div class=""w-10 h-10 bg-white rounded-full flex justify-center items-center""><span class=""text-gray-800 text-3xl"">{<!-- play icon -->}</span></div></div>"
Error Message: Displays error message with details,"DESCRIPTION:
The UI should display an error message with details, such as an error title, error message, and possibly other details.
COMPONENTS:
- ErrorMessage: A standalone component that displays an error message with details.
HTML:
<div class=""bg-red-100 border border-red-500 text-red-700 px-4 py-3 rounded relative""><ErrorMessage/></div>
COMPONENT HTML:
ErrorMessage:
<h5 class=""text-lg"">{error_title}</h5><p>{error_message}</p><p>{error_details}</p>"
Dropdown Menu Chevron,"DESCRIPTION:
The UI should be a dropdown menu with a chevron icon that indicates the menu is expandable. The menu should be responsive and accessible.
COMPONENTS:
- DropdownMenu: Takes children, a container for the dropdown menu items
- ChevronIcon: Standalone, a chevron icon indicating the menu is expandable
HTML:
<div class=""w-full max-w-md mx-auto""><button class=""bg-gray-200 hover:bg-gray-300 text-gray-800 font-bold py-2 px-4 rounded""><DropdownMenu><!-- dropdown menu items will be inserted here --></DropdownMenu><ChevronIcon/></button></div>
COMPONENT HTML:
DropdownMenu:
<div class=""bg-white border border-gray-200 w-full rounded"">{children}</div>
ChevronIcon:
<div class=""ml-2""><span class=""text-gray-500"">{chevron_icon}</span></div>"
Condensed menu or navigation bar with minimal space between items,"DESCRIPTION:
A condensed navigation bar with minimal space between items, responsive and mobile-first.
COMPONENTS:
- CondensedNavItem: ` ( standalone ): A single item in the navigation bar.
- CondensedNav: ` ( takes children ): The navigation bar that contains all the items.
HTML:
<nav class=""flex flex-wrap justify-center md:flex-nowrap""><CondensedNav><CondensedNavItem/><CondensedNavItem/><CondensedNavItem/><!-- Add more items here --></CondensedNav></nav>
COMPONENT HTML:
CondensedNavItem:
<a href=""{item_url}"" class=""px-4 py-2 mx-1 text-sm hover:text-gray-600 transition duration-300 ease-in-out"">{item_name}</a>
CondensedNav:
<div class=""flex flex-wrap justify-center md:flex-nowrap"">{children}</div>"
Affiliate program display,"DESCRIPTION:
The UI should display a summary of an affiliate program, including the program's name, description, commission rate, and a call-to-action (CTA) button to join the program. The UI should be responsive, mobile-first, accessible, and SEO-friendly.
COMPONENTS:
- AffiliateProgramCard: A standalone component that displays the affiliate program's details.
- ProgramName: A standalone component that displays the affiliate program's name.
- ProgramDescription: A standalone component that displays the affiliate program's description.
- CommissionRate: A standalone component that displays the affiliate program's commission rate.
- JoinProgramButton: A standalone component that displays a CTA button to join the program.
HTML:
<div class=""max-w-md mx-auto bg-white rounded-lg shadow-md p-4""><AffiliateProgramCard/></div>
COMPONENT HTML:
AffiliateProgramCard:
<div class=""flex flex-col p-4""><ProgramName/><ProgramDescription/><CommissionRate/><JoinProgramButton/></div>
ProgramName:
<h2 class=""text-lg font-bold"">{program_name}</h2>
ProgramDescription:
<p class=""text-gray-600"">{program_description}</p>
CommissionRate:
<p class=""text-lg"">{commission_rate}% commission</p>
JoinProgramButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Join Program</button>"
Social Sharing Buttons,"DESCRIPTION:
The UI should display a horizontal row of social media buttons, with each button representing a different social media platform (e.g. Facebook, Twitter, LinkedIn, etc.). The buttons should be responsive, mobile-friendly, and accessible.
COMPONENTS:
- SocialMediaButton: (standalone): a single social media button
- SocialSharingButtons: (takes children): a container for multiple social media buttons
HTML:
<div class=""flex justify-center mb-4""><SocialSharingButtons><SocialMediaButton/><SocialMediaButton/><SocialMediaButton/><!-- Add more SocialMediaButton components here --></SocialSharingButtons></div>
COMPONENT HTML:
SocialMediaButton:
<a href={social_media_url} target=""_blank"" rel=""noopener noreferrer"" class=""w-8 h-8 rounded-full bg-{social_media_color} mr-2 hover:bg-{social_media_hover_color}""><i class={`fa fa-${social_media_icon} text-lg text-white`}></i></a>
SocialSharingButtons:
<div class=""flex flex-wrap justify-center mb-4"">{children}</div>"
Timer display,"DESCRIPTION:
The timer display should show the hours, minutes, and seconds in a responsive and mobile-first design. The timer should be easily readable and accessible.
COMPONENTS:
- TimerDisplay: (standalone): The main timer display component.
- TimeUnit: (takes children): A component to display a single time unit (hours, minutes, seconds).
HTML:
<div class=""flex justify-center p-4""><TimerDisplay/></div>
COMPONENT HTML:
TimerDisplay:
<div class=""flex items-center text-3xl""><TimeUnit>{hours}</TimeUnit>: <TimeUnit>{minutes}</TimeUnit>: <TimeUnit>{seconds}</TimeUnit></div>
TimeUnit:
<span class=""mx-2"">{children}</span>"
Callout Box Border Radius,"DESCRIPTION:
A callout box with a border radius, typically used to highlight important information or provide additional context.
COMPONENTS:
- CalloutBox: A standalone component that contains a title and a description.
- CalloutBoxTitle: A standalone component that displays the title of the callout box.
- CalloutBoxDescription: A standalone component that displays the description of the callout box.
HTML:
<div class=""w-full max-w-md p-4 bg-white shadow-md rounded-lg""><CalloutBox/></div>
COMPONENT HTML:
CalloutBox:
<div class=""p-4 border-l-4 border-green-500""><CalloutBoxTitle/><CalloutBoxDescription/></div>
CalloutBoxTitle:
<p class=""text-lg font-bold"">{title}</p>
CalloutBoxDescription:
<p class=""text-sm"">{description}</p>"
Review/comment sections,"DESCRIPTION:
The UI should display a list of reviews/comments with the reviewer's name, rating, and comment text. The reviewer's name and rating should be displayed above the comment text. The UI should be responsive and adapt to different screen sizes.
COMPONENTS:
- ReviewCard: A standalone component that displays a single review/comment.
- ReviewList: A component that takes children and displays a list of reviews/comments.
HTML:
<div class=""max-w-md mx-auto p-4""><ReviewList><ReviewCard/><ReviewCard/><!-- Add more ReviewCard components here --></ReviewList></div>
COMPONENT HTML:
ReviewCard:
<div class=""bg-white p-4 rounded-md shadow-md mb-4""><h4 class=""text-lg font-bold"">{reviewerName}</h4><div class=""flex justify-between mb-2""><span class=""text-sm text-gray-500"">{rating}/5</span><span class=""text-sm text-gray-500"">{datePosted}</span></div><p class=""text-sm"">{commentText}</p></div>
ReviewList:
<ul class=""list-none p-0 m-0"">{children}</ul>"
Social Media Follow Count,"DESCRIPTION:
The UI should display a list of social media platforms with their corresponding follow counts. Each platform should have an icon, the platform name, and the number of followers. The UI should be responsive, with a maximum width of 300px on desktop and stacked on mobile devices.
COMPONENTS:
- SocialMediaItem: (standalone): represents a single social media platform with its follow count
- SocialMediaList: (takes children): the container for the list of social media platforms
HTML:
<div class=""max-w-md mx-auto p-4""><SocialMediaList><SocialMediaItem/><SocialMediaItem/><SocialMediaItem/></SocialMediaList></div>
COMPONENT HTML:
SocialMediaItem:
<div class=""flex items-center mb-4""><img src={icon_url} alt={platform_name} class=""w-8 h-8 mr-2""/><div><p class=""text-lg"">{platform_name}</p><p class=""text-sm"">{follower_count} followers</p></div></div>
SocialMediaList:
<ul class=""list-none mb-0"">{children}</ul>"
Alert Notification Icon Color,"DESCRIPTION:
The UI should be a notification icon with a colored alert indicator, indicating a notification or update. The icon should be responsive and accessible.
COMPONENTS:
- NotificationIcon: - Standalone component that displays an icon with an optional alert indicator.
HTML:
<div class=""flex justify-center""><NotificationIcon/></div>
COMPONENT HTML:
NotificationIcon:
<!-- Notification icon with an optional alert indicator --><span class=""inline-block relative""><i class=""fas fa-bell text-lg text-gray-600"" aria-hidden=""true""></i>{has_alert && <span class=""absolute top-0 right-0 inline-block w-2 h-2 bg-{alert_color}-500 rounded-full""></span>}</span>"
Parallax scrolling,"DESCRIPTION:
The UI should have a hero section with a background image that appears to move slower than the foreground content when the user scrolls, creating a parallax effect. The foreground content should include a heading, a subheading, and a call-to-action button.
COMPONENTS:
- HeroSection: standalone component that contains the background image and foreground content.
- ParallaxBackground: standalone component that displays the background image.
- ForegroundContent: standalone component that displays the heading, subheading, and call-to-action button.
HTML:
<div class=""h-screen w-full overflow-hidden""><HeroSection/></div>
COMPONENT HTML:
HeroSection:
<div class=""relative h-screen""><ParallaxBackground/><ForegroundContent/></div>
ParallaxBackground:
<div class=""absolute inset-0 w-full h-full bg-cover bg-center"" style={{ backgroundImage: `url(${heroImage})` }}/>
ForegroundContent:
<div class=""absolute inset-0 flex flex-col justify-center p-4 lg:p-12""><h1 class=""text-4xl font-bold"">{heroHeading}</h1><p class=""text-lg"">{heroSubheading}</p><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Call to Action</button></div>"
Switches/Toggles/Buttons,"DESCRIPTION:
A toggle button, a switch, and a button, each with a different style, layout, and purpose.
COMPONENTS:
- ToggleSwitch: A toggle switch component that can be either on or off. Standalone.
- SwitchButton: A switch button component that can be either enabled or disabled. Standalone.
- ActionButton: A button component that can be clicked to perform an action. Standalone.
HTML:
<div class=""flex flex-col gap-4 p-4""><ToggleSwitch/><SwitchButton/><ActionButton/></div>
COMPONENT HTML:
ToggleSwitch:
<label class=""inline-flex items-center""><input type=""checkbox"" class=""hidden""/><span class=""toggle-slider round""></span></label>
SwitchButton:
<button class=""bg-{color}-500 hover:bg-{color}-700 text-white hover:text-white py-2 px-4 rounded"">{label}</button>
ActionButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white hover:text-white py-2 px-4 rounded"">{label}</button>"
Upvote and downvote buttons for rating content,"DESCRIPTION:
The UI should consist of two buttons, one for upvoting and one for downvoting, placed side by side. The upvote button should have an upward-facing arrow icon, and the downvote button should have a downward-facing arrow icon. The buttons should be small and compact, with a subtle background color and a hover effect to indicate interactivity.
COMPONENTS:
- RatingButtons: a standalone component that contains both the upvote and downvote buttons
- UpvoteButton: a standalone component that renders the upvote button
- DownvoteButton: a standalone component that renders the downvote button
HTML:
<div class=""flex items-center""><RatingButtons/></div>
COMPONENT HTML:
RatingButtons:
<div class=""flex""><UpvoteButton/><DownvoteButton/></div>
UpvoteButton:
<button class=""bg-gray-100 hover:bg-gray-200 text-gray-800 py-2 px-4 rounded""><i class=""fas fa-arrow-up""></i><span>{upvote_count}</span></button>
DownvoteButton:
<button class=""bg-gray-100 hover:bg-gray-200 text-gray-800 py-2 px-4 rounded""><i class=""fas fa-arrow-down""></i><span>{downvote_count}</span></button>"
Partner logos display,"DESCRIPTION:
The UI should display a list of partner logos in a row, with each logo appearing one after the other. The logos should be evenly spaced and responsive to different screen sizes.
COMPONENTS:
- PartnerLogos: component (takes children): contains a list of `PartnerLogo` components
HTML:
<!-- Container for the partner logos --><div class=""flex flex-wrap justify-center""><!-- Partner logos will be inserted here --><PartnerLogos><!-- Partner logos will be inserted here --></PartnerLogos></div>
COMPONENT HTML:
PartnerLogos:
<!-- Container for multiple partner logos --><div class=""flex flex-wrap justify-center"">{children}</div>"
Tweet input field for user input,"DESCRIPTION:
The UI should be a simple text input field for users to enter their tweets, with a character count indicator next to it.
COMPONENTS:
- TweetInputField: (standalone)
- CharacterCountIndicator: (standalone)
HTML:
<div class=""flex w-full max-w-md p-4 mx-auto mt-4""><TweetInputField/><CharacterCountIndicator/></div>
COMPONENT HTML:
TweetInputField:
<input type=""text"" class=""w-full p-2 pl-10 text-sm text-gray-700"" placeholder=""What's on your mind?"" aria-label=""Tweet input field""/>
CharacterCountIndicator:
<span class=""text-gray-500"">{characterCount}/ 280</span>"
Logout button with confirmation prompt,"DESCRIPTION:
A logout button that, when clicked, displays a confirmation prompt to ensure the user intends to log out. The prompt should have a warning tone and provide a clear call-to-action to confirm logout.
COMPONENTS:
- LogoutButton: (standalone): A button that triggers the confirmation prompt.
- ConfirmationPrompt: (takes children): A modal dialog with a warning tone that confirms the user's intention to log out.
HTML:
<div class=""flex justify-center mb-4""><LogoutButton/><!-- confirmation prompt will be inserted here --><ConfirmationPrompt><p>Are you sure you want to log out?</p><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Confirm Logout</button><button class=""bg-gray-200 hover:bg-gray-300 text-gray-800 font-bold py-2 px-4 rounded"">Cancel</button></ConfirmationPrompt></div>
COMPONENT HTML:
LogoutButton:
<button class=""bg-red-500 hover:bg-red-700 text-white font-bold py-2 px-4 rounded"">Log out</button>
ConfirmationPrompt:
<div class=""fixed top-0 left-0 w-full h-full flex justify-center bg-gray-200 bg-opacity-75""><div class=""bg-white rounded shadow-md p-4 max-w-sm"">{children} </div></div>"
Breadcrumb Separator Icon,"DESCRIPTION:
The UI should display a breadcrumb separator icon, which is a right arrow (>), connecting a series of breadcrumbs. The separator should be vertically centered with the surrounding breadcrumbs.
COMPONENTS:
- BreadcrumbSeparatorIcon: Standalone
HTML:
<nav aria-label=""Breadcrumb""><ol class=""flex""><li class=""breadcrumb-item"">Home</li><BreadcrumbSeparatorIcon/><li class=""breadcrumb-item"">category</li><BreadcrumbSeparatorIcon/><li class=""breadcrumb-item"">subcategory</li></ol></nav>
COMPONENT HTML:
BreadcrumbSeparatorIcon:
<span class=""text-neutral-500"" aria-hidden=""true"">&gt;</span>"
Trending topics display for popular discussions,"DESCRIPTION:
The UI should display a list of trending topics, each with a title, a brief description, and a call-to-action button.
COMPONENTS:
- TrendingTopicList: component that takes children, which will be a list of `TrendingTopicCard` components
HTML:
<div class=""container mx-auto p-4 pt-6 lg:p-6 lg:pt-12""><h2 class=""text-2xl font-bold mb-4"">Trending Topics</h2><TrendingTopicList><!-- list of TrendingTopicCard components will go here --></TrendingTopicList></div>
COMPONENT HTML:
TrendingTopicList:
<ul class=""list-none mb-0"">{children}</ul>"
Provider Profiles,"DESCRIPTION:
The Provider Profiles UI should display a list of provider profiles, including their names, images, and short descriptions. The UI should be responsive, mobile-first, and accessible.
COMPONENTS:
- ProviderProfileCard: (standalone) - a single provider profile card
- ProviderProfileList: (takes children) - a list of provider profile cards
HTML:
<section class=""max-w-md mx-auto p-4 pt-6 pb-8""><h2 class=""text-2xl font-bold mb-4"">Provider Profiles</h2><ProviderProfileList><ProviderProfileCard/><ProviderProfileCard/><!-- add more ProviderProfileCard components here --></ProviderProfileList></section>
COMPONENT HTML:
ProviderProfileCard:
<article class=""bg-white shadow-md rounded p-4 mb-4""><img src={profile_image_url} alt={provider_name} class=""w-24 h-24 rounded-full mx-auto mb-4""/><h3 class=""text-lg font-bold"">{provider_name}</h3><p class=""text-gray-600"">{provider_description}</p></article>
ProviderProfileList:
<ul class=""flex flex-wrap justify-center"">{children}</ul>"
"Button prompting users to take a specific action, like signing up or purchasing","DESCRIPTION:
A prominent call-to-action (CTA) button that stands out on the page, encouraging users to take a specific action. The button should be responsive, mobile-friendly, and accessible.
COMPONENTS:
- ActionButton: a standalone component that renders a single button.
HTML:
<!-- The main container for the CTA button --><div class=""flex justify-center mb-4""><ActionButton/></div>
COMPONENT HTML:
ActionButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{button_text}</button>"
User Profile and Reputation Systems,"DESCRIPTION:
A user profile and reputation system that displays the user's profile information, reputation score, and badges earned.
COMPONENTS:
- UserProfileCard: standalone component
- BadgeList: takes children
HTML:
<div class=""max-w-md mx-auto px-4 py-8""><UserProfileCard/><div class=""mt-4""><h2 class=""text-lg font-bold"">Reputation</h2><BadgeList><!-- badges will be inserted here --></BadgeList></div></div>
COMPONENT HTML:
UserProfileCard:
<div class=""bg-white shadow-md p-4 rounded""><h2 class=""text-lg font-bold"">{username}</h2><p class=""text-gray-600"">{bio}</p><p class=""text-sm text-gray-500"">{joined_at}</p></div>
BadgeList:
<ul class=""flex flex-wrap"">{children}</ul>"
