input,output
"Single post with text, image, and comments","description:
The UI should display a single post with a text, an image, and comments below. The post text should be in a readable font size, and the image should be responsive. The comments section should be divided into individual comment blocks with the commentator's name and comment text.
components:
- PostContent: A standalone component that renders the post text and image.
- CommentsSection: A component that takes children (`CommentBlock` components) and renders them.
html:
<!-- Post Container --><div class=""max-w-md mx-auto p-4 md:p-6 lg:p-8""><PostContent/><CommentsSection><!-- Comment blocks will be inserted here --></CommentsSection></div>
component html:
PostContent:
<!-- Post Content Container --><div class=""mb-4""><p class=""text-lg"">{post_text}</p><img src=""{image_url}"" alt=""{image_alt}"" class=""w-full h-auto mb-4""/></div>
CommentsSection:
<!-- Comments Section Container --><div class=""mt-4"">{children}</div>"
"A hero section component with a background image, headline, and call-to-action button","description:
The hero section should be a prominent section on the page that immediately grabs the user's attention. It should have a high-quality background image that scales well on different screen sizes, a clear and concise headline, and a prominent call-to-action button. The background image should be darkened or overlaid with a gradient to ensure the headline and button stand out.
components:
- HeroSection: (Takes Children): The top-level component that contains the hero section.
- HeroBackground: (Standalone): The background image component.
- HeroHeadline: (Standalone): The headline component.
- HeroCTA: (Standalone): The call-to-action button component.
html:
<div class=""min-h-screen flex justify-center items-center""><HeroSection><HeroBackground/><div class=""container mx-auto p-4 lg:p-8""><HeroHeadline/><HeroCTA/></div></HeroSection></div>
component html:
HeroSection:
<div class=""relative"">{children}</div>
HeroBackground:
<div class=""absolute top-0 left-0 w-full h-full bg-cover bg-center"" style=""background-image: url({background_image_url})""><div class=""absolute top-0 left-0 w-full h-full bg-gray-700 opacity-50""></div></div>
HeroHeadline:
<h1 class=""text-4xl lg:text-6xl font-bold text-white"">{headline_text}</h1>
HeroCTA:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{cta_text} </button>"
Shadows (box),"description:
A box with a shadow effect, which gives the impression of depth.
components:
- ShadowBox: A standalone component that displays a box with a shadow effect.
html:
<div class=""container mx-auto p-4 pt-6 md:p-6 lg:pt-12""><ShadowBox/></div>
component html:
ShadowBox:
<div class=""bg-white p-4 shadow-md rounded""><!-- Add content here --></div>"
Tag component with a blue background and white text,"description:
The `Tag` component should be a small, rectangular shape with a blue background color and white text. The text should be centered horizontally and vertically within the tag. The component should be small enough to fit on a single line, but large enough to be easily clickable or tappable.
components:
- Tag: (Standalone): A small, rectangular component representing a tag or label.
html:
<Tag/>
component html:
Tag:
<span class=""bg-blue-500 text-white rounded px-2 py-1 text-xs"">{tag_text}</span>"
"A testimonial component that shows a list of user testimonials, with:","description:
The testimonial component should have a clean and modern design, with a light background color and a subtle gradient to give it some depth. Each testimonial item should have a profile picture, a quote, and the user's name and title. The component should be responsive and scale well on different screen sizes.
components:
- TestimonialComponent: (Takes Children): This is the top-level component that contains a list of testimonials. It should have a subtle gradient background and a max-width to constrain the content.
- TestimonialItem: (Standalone): This component represents a single testimonial item, containing a profile picture, a quote, and the user's name and title.
html:
<div class=""max-w-md mx-auto p-4 bg-gradient-to-b from-gray-100 to-white shadow-md rounded""><h2 class=""text-lg font-bold mb-4"">What Our Users Say</h2><TestimonialComponent><!-- Child components will be rendered here --></TestimonialComponent></div>
component html:
TestimonialComponent:
<div class=""flex flex-wrap justify-center mb-4"">{children}</div>
TestimonialItem:
<div class=""flex mb-6""><img src={profile_picture_url} alt={username} class=""w-12 h-12 rounded-full mr-4""/><div><p class=""text-lg mb-2"">{quote}</p><p class=""text-sm text-gray-600"">{username}, {title}</p></div></div>"
Features List: Break down complex features into bite-sized chunks,"description:
The UI should be a responsive, mobile-first, and accessible list of features, with each feature broken down into a concise and readable format. The list should be SEO-friendly and well-documented.
components:
- FeatureListItem: (standalone) - represents a single feature item in the list
- FeatureListWrapper: (takes children) - wraps the list of feature items
html:
<div class=""mx-auto max-w-md py-8""><FeatureListWrapper><FeatureListItem/><FeatureListItem/><FeatureListItem/><!-- add more FeatureListItem components here --></FeatureListWrapper></div>
component html:
FeatureListItem:
<li class=""mb-4""><h3 class=""text-lg font-bold"">{feature_title}</h3><p class=""text-gray-600"">{feature_description}</p><ul class=""list-none mb-2""><li>{feature_breakdown_point_1}</li><li>{feature_breakdown_point_2}</li><!-- add more breakdown points here --></ul></li>
FeatureListWrapper:
<ul class=""list-none"">{children}</ul>"
Features Grid: Highlight key benefits in a grid layout,"description:
A responsive grid layout with 3-4 columns, showcasing key benefits of a product or service. Each grid item should have an icon, a heading, and a brief description.
components:
- FeatureItem: (standalone): A single feature item in the grid, containing an icon, heading, and description.
- FeaturesGrid: (takes children): The container element for the feature items, managing the grid layout.
html:
<section class=""container mx-auto p-4 lg:p-8""><FeaturesGrid><FeatureItem/><FeatureItem/><FeatureItem/><!-- Add more FeatureItem components as needed --></FeaturesGrid></section>
component html:
FeatureItem:
<div class=""flex flex-col items-center p-4 lg:p-6""><i class=""text-3xl {icon_class} mb-4""/><!-- icon --><h3 class=""text-lg font-bold"">{heading}</h3><p class=""text-gray-600"">{description}</p></div>
FeaturesGrid:
<div class=""grid grid-cols-1 lg:grid-cols-3 gap-4 lg:gap-8"">{children}</div>"
Dynamic Product Feature List,"description:
The UI should display a list of product features in a clean and organized manner, with each feature listed in a separate row. The list should be responsive and work well on mobile devices.
components:
- FeatureListItem: a standalone component that displays a single product feature.
- FeatureList: a component that takes children, wrapping the list of features.
html:
<div class=""max-w-md mx-auto p-4 pt-6""><h2 class=""text-lg font-bold mb-4"">Product Features</h2><FeatureList><FeatureListItem/><FeatureListItem/><!-- Add more FeatureListItem components as needed --></FeatureList></div>
component html:
FeatureListItem:
<div class=""flex items-center mb-4""><i class=""fas fa-check text-green-500 mr-2"" aria-hidden=""true""></i><p class=""text-gray-700"">{feature_name}</p><p class=""text-gray-500 text-sm"">{feature_description}</p></div>
FeatureList:
<ul class=""list-none mb-0"">{children}</ul>"
Product Images/Zoom,"description:
The UI should display a product image with a zoom feature, allowing users to hover or click on the image to view a larger, zoomed-in version of the product.
components:
- ProductImage: A standalone component that displays a product image with a zoom feature.
- ZoomedImage: A standalone component that displays a larger, zoomed-in version of the product image.
html:
<div class=""container mx-auto p-4 md:p-8""><ProductImage/></div>
component html:
ProductImage:
<div class=""relative""><img src=""{product_image_url}"" alt=""{product_name}"" class=""w-full h-full object-cover""/><div class=""absolute top-0 left-0 w-full h-full bg-black bg-opacity-50 hover:bg-opacity-75 transition duration-300""><ZoomedImage/></div></div>
ZoomedImage:
<img src=""{product_image_url}"" alt=""{product_name}"" class=""w-full h-full object-contain""/>"
"User badge component with a small icon, username, and level indicator (e.g. ""Level 10"")","description:
The User Badge component should be a compact, visually appealing container that displays a small icon, a username, and a level indicator. It should be responsive and adapt to different screen sizes. On smaller screens, the component should be more compact, with the icon and text aligned vertically, while on larger screens, the icon and text can be aligned horizontally. The level indicator should be highlighted with a distinctive color to draw attention.
components:
- UserBadge: (Takes Children): This is the top-level component that contains the user's information. It will contain a small icon, a username, and a level indicator.
html:
<UserBadge><!-- username and level indicator will be rendered here --></UserBadge>
component html:
UserBadge:
<div class=""flex flex-col md:flex-row items-center bg-white rounded-lg p-2 shadow-md""><img src=""{icon_url}"" alt=""User Icon"" class=""w-8 h-8 md:w-12 md:h-12 mr-2""/><div class=""flex flex-col""><span class=""text-lg"">{username}</span><span class=""text-sm text-teal-600"">{level_indicator}</span>{children} </div></div>"
Hero Background Image Size,"description:
The UI should display a hero section with a background image that scales responsively to fit different screen sizes.
components:
- HeroBackground: standalone component that displays the background image
- HeroContent: standalone component that displays content on top of the background image
html:
<section class=""h-screen w-full relative""><HeroBackground/><HeroContent/></section>
component html:
HeroBackground:
<div class=""absolute top-0 left-0 h-full w-full bg-cover bg-center"" style=""backgroundImage: url({imageUrl});""}/>
HeroContent:
<div class=""absolute top-1/2 left-1/2 transform -translate-x-1/2 -translate-y-1/2 text-xl text-white""><h1>{heroHeaderText}</h1><p>{heroDescriptionText}</p></div>"
Code block controls,"description:
The UI should display a code block with controls to toggle the language, toggle the code wrapping, and copy the code. The controls should be placed above the code block.
components:
- CodeBlock: (standalone) - The main code block component.
- CodeBlockControls: (takes children) - A container for the code block controls.
- LanguageToggle: (standalone) - A dropdown to toggle the language of the code block.
- WrapToggle: (standalone) - A toggle button to toggle code wrapping.
- CopyCode: (standalone) - A button to copy the code.
html:
<div class=""flex flex-col""><CodeBlockControls><LanguageToggle/><WrapToggle/><CopyCode/></CodeBlockControls><CodeBlock/></div>
component html:
CodeBlock:
<pre><code>{code}</code></pre>
CodeBlockControls:
<div class=""flex justify-end mb-2"">{children}</div>
LanguageToggle:
<select class=""px-2 py-1 text-sm"">{language_options}</select>
WrapToggle:
<button class=""px-2 py-1 text-sm"">Toggle Wrap</button>
CopyCode:
<button class=""px-2 py-1 text-sm"">Copy</button>"
"A showcase of featured workouts with images, headlines, and brief descriptions","description:
The UI should display a showcase of featured workouts in a grid layout, with each workout displayed as a card with an image, headline, and brief description. The grid layout should be responsive and adapt to different screen sizes. On larger screens, the cards should be arranged in a 3-column grid, while on smaller screens, the cards should be arranged in a single column.
components:
- WorkoutShowcase: (Takes Children): A container component that displays a grid of `WorkoutCard` components.
html:
<div class=""max-w-md mx-auto p-4 lg:max-w-3xl lg:p-6""><h1 class=""text-3xl font-bold mb-4"">Featured Workouts</h1><WorkoutShowcase><!-- workout cards will be rendered here --></WorkoutShowcase></div>
component html:
WorkoutShowcase:
<div class=""grid gap-4 lg:grid-cols-3"">{children}</div>"
Hotel reservation form,"description:
The UI should be a simple hotel reservation form with input fields for guest information, check-in and check-out dates, room type, and a submit button. The form should be responsive, mobile-friendly, and accessible.
components:
- GuestInformationComponent: (standalone) - contains input fields for guest name, email, and phone number
- DatePickerComponent: (standalone) - a single date picker for check-in and check-out dates
- RoomTypeComponent: (standalone) - a dropdown menu for selecting room type
- SubmitButtonComponent: (standalone) - a submit button for the form
- ReservationFormComponent: (takes children) - the outer container for the form
html:
<ReservationFormComponent><GuestInformationComponent/><DatePickerComponent/><RoomTypeComponent/><SubmitButtonComponent/></ReservationFormComponent>
component html:
GuestInformationComponent:
<div class=""flex flex-wrap -mx-3 mb-6""><div class=""w-full md:w-1/2 px-3 mb-6 md:mb-0""><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""name"">Name </label><input class=""appearance-none block w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""name"" type=""text""/></div><div class=""w-full md:w-1/2 px-3""><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""email"">Email </label><input class=""appearance-none block w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""email"" type=""email""/></div><div class=""w-full md:w-1/2 px-3""><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""phone"">Phone </label><input class=""appearance-none block w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""phone"" type=""tel""/></div></div>
DatePickerComponent:
<div class=""w-full md:w-1/2 px-3 mb-6 md:mb-0""><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""checkin_date"">Check-in Date </label><input class=""appearance-none block w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""checkin_date"" type=""date""/><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""checkout_date"">Check-out Date </label><input class=""appearance-none block w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""checkout_date"" type=""date""/></div>
RoomTypeComponent:
<div class=""w-full md:w-1/2 px-3 mb-6 md:mb-0""><label class=""block uppercase tracking-wide text-grey-darker text-xs font-bold mb-2"" for=""room_type"">Room Type </label><select class=""block appearance-none w-full bg-grey-lighter text-grey-darker border border-grey-lighter rounded py-3 px-4"" id=""room_type""><option value="""">Select room type</option><option value=""single"">Single</option><option value=""double"">Double</option><option value=""suite"">Suite</option></select></div>
SubmitButtonComponent:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"" type=""submit"">Book Now</button>
ReservationFormComponent:
<form class=""max-w-md w-full mx-auto p-4 pt-6"">{children}</form>"
Error message displayed within the context of a form field or input area,"description:
The UI should display an error message below a form field or input area, indicating that the user has entered invalid data. The error message should be accessible, responsive, and visually distinct from the rest of the form.
components:
- FormFieldError: A standalone component that displays an error message related to a form field.
html:
<div class=""max-w-md mx-auto p-4""><label class=""block mb-2"" for=""input-field"">Input Field</label><input class=""block w-full p-2 pl-10 text-sm text-gray-700"" id=""input-field"" type=""text""/><FormFieldError/></div>
component html:
FormFieldError:
<p class=""text-xs text-red-600 mt-1"">{error_message}</p>"
Individual email thread with reply buttons,"description:
The UI should display an individual email thread with reply buttons. The email thread should show the sender's name, email subject, and email body. There should be reply buttons (e.g., ""Reply"" and ""Reply All"") below the email body.
components:
- EmailThread: Standalone component that displays an individual email thread.
- EmailMetadata: Standalone component that displays the sender's name and email subject.
- EmailBody: Standalone component that displays the email body.
- ReplyButtons: Standalone component that displays the reply buttons.
html:
<div class=""max-w-md mx-auto p-4""><EmailThread/></div>
component html:
EmailThread:
<div class=""border bg-white rounded p-4""><EmailMetadata/><EmailBody/><ReplyButtons/></div>
EmailMetadata:
<div class=""flex justify-between mb-2""><p class=""font-bold"">{sender_name}</p><p class=""text-gray-600"">{email_subject}</p></div>
EmailBody:
<div class=""mb-4""><p>{email_body}</p></div>
ReplyButtons:
<div class=""flex justify-end""><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Reply</button><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">Reply All</button></div>"
"A section title component with a large, bold font and a subtle underline","description:
The SectionTitle component should have a large, bold font and a subtle underline. The font size should scale down on smaller screens to ensure readability. The underline should be a subtle highlight color to draw attention to the section title.
components:
- SectionTitle: (Standalone): A single-line title component with a large, bold font and a subtle underline.
html:
<!-- No top-level UI HTML, this component is standalone -->
component html:
SectionTitle:
<h2 class=""text-3xl sm:text-2xl md:text-xl lg:text-2xl font-bold pb-2 border-b-2 border-{highlight_color}"">{title}</h2>"
Social media icons,"description:
A horizontal list of social media icons with a light gray background and white icons. The icons should be evenly spaced and have a subtle animation on hover.
components:
- SocialMediaIcon: (standalone): A single social media icon.
- SocialMediaIcons: (takes children): A container for a list of social media icons.
html:
<div class=""bg-gray-200 p-4""><SocialMediaIcons><SocialMediaIcon/><SocialMediaIcon/><SocialMediaIcon/></SocialMediaIcons></div>
component html:
SocialMediaIcon:
<a href=""{SocialMediaLink}"" target=""_blank"" rel=""noopener noreferrer"" class=""text-lg mx-4 transition duration-300 ease-in-out hover:text-gray-600""><i class=""fab fa-{SocialMediaPlatform}""></i></a>
SocialMediaIcons:
<div class=""flex justify-center"">{children}</div>"
Date picker calendar,"description:
The UI should be a calendar date picker that allows users to select a date. The calendar should be responsive, mobile-friendly, and accessible. It should display a month view with days of the week at the top and a navigation system to move between months.
components:
- DatePickerCalendar: standalone component that contains the entire calendar interface.
- MonthNavigation: standalone component that allows users to navigate between months.
html:
<div class=""max-w-md mx-auto p-4""><DatePickerCalendar/></div>
component html:
DatePickerCalendar:
<div class=""flex flex-col""><MonthNavigation/><table class=""w-full""><thead><tr><th class=""px-4 py-2"">Sun</th><th class=""px-4 py-2"">Mon</th><th class=""px-4 py-2"">Tue</th><th class=""px-4 py-2"">Wed</th><th class=""px-4 py-2"">Thu</th><th class=""px-4 py-2"">Fri</th><th class=""px-4 py-2"">Sat</th></tr></thead><tbody>{day_cells} </tbody></table></div>
MonthNavigation:
<div class=""flex justify-between mb-4""><button class=""px-4 py-2 bg-gray-200 hover:bg-gray-300"">❮</button><span class=""px-4 py-2"">{month_name} {year}</span><button class=""px-4 py-2 bg-gray-200 hover:bg-gray-300"">❯</button></div>"
Lightbox display,"description:
The UI should feature a Lightbox display which typically consists of an image gallery where clicking on a thumbnail opens the image in a larger view ""over"" the page, often darkening the background to focus on the image. This display should be responsive, adjusting for different screen sizes, and allow easy navigation through images.
components:
- ThumbnailGallery: (Standalone) - This component displays the thumbnails of the images.
- LightboxModal: (Takes children) - A modal component that displays the selected image in a larger view with a darkened background.
html:
<div class=""p-4""><!-- Thumbnail gallery where users pick an image --><ThumbnailGallery/><!-- Modal that displays when an image is clicked --><LightboxModal><img src=""{lightboxImageSrc}"" alt=""{lightboxImageAlt}"" class=""max-w-full max-h-full""/></LightboxModal></div>
component html:
ThumbnailGallery:
<div class=""grid grid-cols-3 gap-4 md:grid-cols-5 lg:grid-cols-6""><img src=""{thumbnail1Src}"" alt=""{thumbnail1Alt}"" class=""w-full cursor-pointer""/><img src=""{thumbnail2Src}"" alt=""{thumbnail2Alt}"" class=""w-full cursor-pointer""/><!-- Add more images similarly depending on the number of images to display --></div>
LightboxModal:
<div class=""fixed inset-0 bg-black bg-opacity-75 flex justify-center items-center p-4""><div class=""bg-white p-4 max-w-3xl max-h-full overflow-auto"">{children} </div></div>"
A separator line with a soft grey color,"description:
A simple, horizontal separator line with a soft grey color that provides a subtle visual separation between elements.
components:
- Separator: (Standalone): A horizontal separator line.
html:
<Separator/>
component html:
Separator:
<div class=""h-[1px] bg-gray-200""></div>"
Sample text,"description:
The UI should be a simple header component with a title and a description.
components:
- HeaderTitle: A standalone component that displays a title.
- HeaderDescription: A standalone component that displays a description.
- Header: A container component that takes children.
html:
<header><Header/></header>
component html:
HeaderTitle:
<h1 class=""text-3xl font-bold"">{title}</h1>
HeaderDescription:
<p class=""text-lg"">{description}</p>
Header:
<div class=""flex flex-col items-center p-4 md:flex-row md:justify-between"">{children}</div>"
"A hero section with a high-quality background image, overlaid with a tagline and call-to-action button","description:
The hero section should have a high-quality background image that scales well on different screen sizes. The tagline should be prominent and centered on the page, with the call-to-action button below it. The button should stand out with a contrasting color. The overall design should be visually appealing and guide the user's attention to the call-to-action button.
components:
- HeroBackground: (Standalone): A full-width, full-height background image that scales on different screen sizes.
- HeroTagline: (Standalone): A centered tagline that overlays the background image.
- HeroCTAButton: (Standalone): A prominent call-to-action button that overlays the background image.
html:
<section class=""h-screen w-full relative overflow-hidden""><HeroBackground/><div class=""absolute inset-0 flex flex-col justify-center px-4 md:px-8 lg:px-12""><HeroTagline/><HeroCTAButton/></div></section>
component html:
HeroBackground:
<div class=""absolute inset-0 bg-cover bg-center"" style=""backgroundImage: url({hero_background_image});""}></div>
HeroTagline:
<h1 class=""text-3xl md:text-4xl lg:text-5xl font-bold text-white"">{hero_tagline}</h1>
HeroCTAButton:
<button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{cta_button_text}</button>"
Dropdown menu,"description:
The UI should be a dropdown menu that is hidden by default and appears when the user clicks on a button or hovering over it. The dropdown menu should be responsive, accessible, and SEO-friendly.
components:
- DropdownButton: (standalone): a button that triggers the dropdown menu
- DropdownMenu: (takes children): a container that holds the dropdown menu items
- DropdownMenuItem: (standalone): an individual item in the dropdown menu
html:
<div class=""relative inline-flex""><DropdownButton/><DropdownMenu><DropdownMenuItem/><DropdownMenuItem/><!-- add more DropdownMenuItem here --></DropdownMenu></div>
component html:
DropdownButton:
<button class=""bg-gray-200 hover:bg-gray-300 text-gray-800 font-bold py-2 px-4 rounded"">{button_text}</button>
DropdownMenu:
<div class=""absolute top-full left-0 w-48 bg-white shadow-md"">{children}</div>
DropdownMenuItem:
<a href=""#"" class=""block py-2 px-4 text-gray-600 hover:text-gray-900"">{menu_item_text}</a>"
"A component that displays a 3-column layout with titles, short descriptions, and prices for each travel package","description:
The UI should have a clean and modern design that showcases three travel packages in a 3-column layout. Each package should have a title, short description, and price. The layout should be responsive, with the columns stacking on top of each other on small screens and becoming horizontal on larger screens. The UI should use a consistent color palette with highlight colors to make each package stand out.
components:
- PackageList: (Takes Children): A container component that holds a list of travel packages.
- PackageItem: (Standalone): A single travel package component that displays the title, description, and price.
html:
<div class=""container mx-auto p-4""><PackageList><!-- Package items will be rendered here --></PackageList></div>
component html:
PackageList:
<div class=""flex flex-wrap justify-center md:flex-no-wrap md:flex-row"">{children}</div>
PackageItem:
<div class=""bg-white rounded shadow-md p-4 md:w-1/3 xl:w-1/4""><h3 class=""text-lg font-bold"">{packageName}</h3><p class=""text-gray-600"">{packageDescription}</p><p class=""text-lg font-bold"">{packagePrice}</p></div>"
A section header with a large font size and a subtle gradient effect,"description:
The UI should have a prominent section header that grabs the user's attention. The header should have a large font size and a subtle gradient effect to add depth and visual interest. The gradient effect should be subtle to avoid overwhelming the user.
components:
- SectionHeader: (Standalone): A prominent section header with a large font size and a subtle gradient effect.
html:
<!-- The top level UI contains a single SectionHeader component --><SectionHeader/>
component html:
SectionHeader:
<!-- The SectionHeader component has a large font size and a subtle gradient effect --><h2 class=""text-4xl font-bold gradient-header"">Section Header</h2>"
A simple round avatar icon to represent event organizers,"description:
The UI should be a simple, rounded avatar icon that represents event organizers. It should be visually appealing, easy to use, and responsive on different screen sizes. The avatar icon should be circular in shape, with a subtle shadow to add depth. The background color of the avatar should be a highlight color that makes it stand out, and the text inside the avatar should be a contrasting color to ensure accessibility.
components:
- EventOrganizerAvatar: (Standalone): A circular avatar icon that represents an event organizer. It should have a subtle shadow and a highlight background color. The avatar should scale down on smaller screen sizes to ensure it remains visually appealing.
html:
<div class=""flex justify-center""><EventOrganizerAvatar/></div>
component html:
EventOrganizerAvatar:
<div class=""w-12 h-12 md:w-16 md:h-16 lg:w-20 lg:h-20 rounded-full bg-orange-200 shadow-md flex justify-center""><p class=""text-lg md:text-xl lg:text-2xl font-bold text-white"">{initials}</p></div>"
Video upload tool with encoding options,"description:
The UI should be a video upload tool with encoding options. It should have a file input field, a dropdown menu for selecting the encoding preset, a checkbox for enabling watermarks, and a submit button. The UI should be responsive, accessible, and SEO-friendly.
components:
- UploadInput: A standalone component for the file input field.
- EncodingPresetSelect: A standalone component for the dropdown menu for selecting the encoding preset.
- WatermarkCheckbox: A standalone component for the checkbox for enabling watermarks.
- SubmitButton: A standalone component for the submit button.
- VideoUploadForm: A component that takes children, which is the parent component that wraps all the other components.
html:
<div class=""max-w-md mx-auto p-4 pt-6 pb-8""><VideoUploadForm><UploadInput/><EncodingPresetSelect/><WatermarkCheckbox/><SubmitButton/></VideoUploadForm></div>
component html:
UploadInput:
<div class=""mb-4""><input type=""file"" id=""video-upload"" class=""block w-full text-sm text-gray-900 bg-gray-50 rounded-lg border border-gray-300 cursor-pointer dark:text-gray-400 focus:outline-none dark:bg-gray-700 dark:border-gray-600 dark:placeholder-gray-400""><label for=""video-upload"" class=""sr-only"">Select a video file</label></div>
EncodingPresetSelect:
<div class=""mb-4""><select id=""encoding-preset"" class=""block w-full text-sm text-gray-900 bg-gray-50 rounded-lg border border-gray-300 cursor-pointer dark:text-gray-400 focus:outline-none dark:bg-gray-700 dark:border-gray-600 dark:placeholder-gray-400""><option value="""">{select_preset}</option><!-- more options will be generated dynamically --></select><label for=""encoding-preset"" class=""sr-only"">Select an encoding preset</label></div>
WatermarkCheckbox:
<div class=""mb-4""><input type=""checkbox"" id=""watermark"" class=""w-4 h-4 text-blue-600 bg-gray-100 rounded border-gray-300 focus:ring-blue-500 dark:bg-gray-700 dark:border-gray-600 dark:ring-blue-500""><label for=""watermark"" class=""ml-2 text-sm text-gray-600"">Enable watermark</label></div>
SubmitButton:
<button class=""bg-blue-500 hover:bg-blue-700 text-white font-bold py-2 px-4 rounded"">Upload Video</button>
VideoUploadForm:
<!-- this component will wrap all the other components --><div class=""p-4"">{children}</div>"
Audio Players,"description:
The UI should be a responsive audio player with controls to play, pause, and adjust volume. It should be mobile-friendly and accessible.
components:
- AudioPlayer: standalone component that contains the audio player controls
- PlayPauseButton: standalone component that toggles play and pause states
- VolumeController: standalone component that allows adjusting the volume
- AudioSeekBar: standalone component that displays the audio progress
html:
<!-- Audio player container --><div class=""flex flex-col items-center justify-center p-4 md:p-8""><!-- Audio player controls --><AudioPlayer/></div>
component html:
AudioPlayer:
<!-- Audio player controls container --><div class=""flex flex-row items-center justify-center mb-4""><!-- Play/pause button --><PlayPauseButton/><!-- Volume controller --><VolumeController/><!-- Audio seek bar --><AudioSeekBar/></div>
PlayPauseButton:
<!-- Play/pause button container --><button class=""bg-orange-500 hover:bg-orange-700 text-white font-bold py-2 px-4 rounded"">{play_pause_icon} <!-- play or pause icon --></button>
VolumeController:
<!-- Volume controller container --><div class=""flex flex-row items-center""><!-- Volume icon --><span class=""text-gray-600"">{volume_icon} <!-- volume icon --></span><!-- Volume slider --><input type=""range"" class=""w-full h-2 rounded-lg"" min=""0"" max=""100"" step=""1"" value=""{volume_level}""/></div>
AudioSeekBar:
<!-- Audio seek bar container --><div class=""flex flex-row items-center""><!-- Audio elapsed time --><span class=""text-gray-600"">{elapsed_time} <!-- elapsed time --></span><!-- Audio seek bar --><input type=""range"" class=""w-full h-2 rounded-lg"" min=""0"" max=""{audio_duration}"" step=""1"" value=""{current_time}""/><!-- Audio remaining time --><span class=""text-gray-600"">{remaining_time} <!-- remaining time --></span></div>"
Dropdown Menu Title,"description:
The Dropdown Menu Title UI should be a dropdown menu title element that displays a title and a dropdown icon, indicating that there are more options available. The UI should be responsive, mobile-first, accessible, SEO-friendly, and well-documented.
components:
- DropdownMenuTitle: a standalone component that displays the title and dropdown icon.
- DropdownIcon: a standalone component that displays the dropdown icon.
html:
<div class=""flex items-center justify-between""><DropdownMenuTitle/><DropdownIcon/></div>
component html:
DropdownMenuTitle:
<p class=""text-lg font-bold"">{menu_title}</p>
DropdownIcon:
<span class=""material-icons"">arrow_drop_down</span>"
Hero Section with Text,"description:
The UI should be a hero section with a background image and a section of text overlay on top of it. The background image should be full-width and take up the entire screen height on desktop. On mobile, the image should be smaller and the text should be more prominent.
components:
- HeroSection: (standalone) - the main hero section component
- HeroText: (takes children) - the text overlay component
html:
<section class=""h-screen w-full relative""><HeroSection/><HeroText><!-- hero text content goes here --></HeroText></section>
component html:
HeroSection:
<div class=""h-screen w-full absolute top-0 left-0 bg-cover bg-center"" style=""backgroundImage: url({hero_image_url});""}/>
HeroText:
<div class=""absolute top-1/2 left-1/2 -translate-x-1/2 -translate-y-1/2 text-lg md:text-3xl text-white"">{children}</div>"
Filter criteria that dynamically adjusts based on the context of the content being displayed,"description:
The UI should display a dynamic filter criteria section that adjusts based on the context of the content being displayed. It should have a title, a dropdown to select the filter criteria, and a input field to enter the filter value. The filter criteria should be responsive and accessible.
components:
- DynamicFilter: A standalone component that renders a dynamic filter criteria section.
- FilterTitle: A standalone component that renders the title of the filter criteria section.
- FilterDropdown: A standalone component that renders a dropdown to select the filter criteria.
- FilterInput: A standalone component that renders an input field to enter the filter value.
html:
<div class=""max-w-md mx-auto p-4""><DynamicFilter/></div>
component html:
DynamicFilter:
<div class=""flex flex-wrap -mx-4 mb-4""><FilterTitle/><FilterDropdown/><FilterInput/></div>
FilterTitle:
<h5 class=""text-lg font-bold"">{filter_title}</h5>
FilterDropdown:
<select class=""block w-full pl-10 text-sm text-gray-700"">{filter_criteria_options}</select>
FilterInput:
<input type=""text"" class=""block w-full pl-10 pr-10 py-2 text-sm text-gray-700"" placeholder=""{filter_placeholder}""/>"
